index,file,family,top50,top100
0,001d216ee755f0bc96125892e2fb3e3a,shamoon,True,True
1,006b418307c534754f055436a91848aa,downdelph,False,True
2,00b35fb5c534dea3ea13c8be4e4585cc,discordiaminer,False,True
3,00c417425a73db5a315d23fac8cb353f,shamoon,True,True
4,00cd973ae62f7824dfce7bebda46dcf1,ramnit,False,True
5,00d356a7cf9f67dd5bb8b2a88e289bc8,felismus,False,False
6,00e415e72a4fc4c8634d4d3815683ce8,kingofhearts,False,False
7,00eae0a97f18a59c0f9b65799b8b1523,medusalocker,True,True
8,010a50145563a6c554de12b8770f16f7,peppyrat,True,True
9,010aa8d6e6f5346118546b1e4e414cb2,peppyrat,True,True
10,0123411a6cfe8afb4a45e4afeed767e7,andromeda,True,True
11,012f79570f720b997b9ef4ef327dd2da,retriever,False,False
12,01390aeb5c4bbf2eebdb154d706e7117,skimer,False,True
13,01440a3c0c44b76462a96d67626720fe,bazarbackdoor,True,True
14,0146bd8836652b6354afbdf01df3a3dd,hussarini,False,False
15,014f37826027860ab8275087dc42de6a,metamorfo,False,False
16,0168927e4cda399ac95ac4e5d43e2309,nanolocker,False,True
17,0169de5083f761215e4bf31719363d9f,trickbot,True,True
18,019e954706a40e8fdb42c7fcd9402e47,icedid,True,True
19,01a0a8953295e2cd99cca3cd3ff8b0a8,cannon,False,True
20,01ac5016624191163b0201d57d1c104b,nazar,False,False
21,01bb1ed3dc487fbd3de3587f887cac75,dreambot,True,True
22,01e438effb7eb350308ffc0c2d0a60b4,ozone,False,False
23,01ef36a38c8282195f0e95f66d43f036,prometei,True,True
24,0219ef20ab2df29b9b29f8407cf74f1c,guildma,False,False
25,021a0f57fe09116a43c27e5133a57a0a,longwatch,False,False
26,0248465d9edd866d7d8929af1f9685b4,smokeloader,True,True
27,02522ce47a8db9544f8877dace7e0833,xtunnel,False,True
28,02562517436df9302ebb50f2594766f7,icedid,True,True
29,028515d12e9d59d272a2538045d1f636,remexi,False,False
30,0293aa6ac5145fe595571629e13051b8,pushdo,False,False
31,02be4e542a77319c28511abcfb126c4b,athenago,False,False
32,02c8a8ebb68f9c06b47580d15402db70,azorult,True,True
33,02dce579d95a57f9e5ca0cde800dfb0f,samsa,True,True
34,0301296543c91492d49847ae636857a4,gandcrab,True,True
35,033284841a9c8edbbad3422a0ae82566,rokrat,False,False
36,035484d750f13e763eae758a5f243133,skimer,False,True
37,0374a343768b30771381a35ab7c0b854,bazarbackdoor,True,True
38,039bd47f0fdb6bb7d68a2428c71f317d,roguerobin,False,True
39,039d9e47e4474bee24785f8ec5307695,birddog,False,False
40,03a2f5ea0cea83e77770a4018c4469ab,ketrican,False,True
41,03ba3d3ceae5f11817974c7e4be05bde,tinba,False,False
42,03da25c410933093e09525f2d1983767,indigodrop,True,True
43,03dcd4a7b5fc1baee75f9421dc8d876f,crimson,False,True
44,03e27bb9fbf9a5321fc8283fbc8b17a9,olympicdestroyer,True,True
45,03ffedef1f65c2c5338a9bb7ebbe1d50,baldr,False,False
46,04077ecbdc412d6d87fc21e4b3a4d088,zyklon,False,False
47,04617a6fbfd909f9e9a35c401ea4a0c3,zeuspanda,False,False
48,047af34af65efd5c6ee38eb7ad100a01,darkcrystal,False,False
49,04a54e91d16b18351eed6579e6d5eda9,pony,False,True
50,04be89ff5d217796bc68678d2508a0d7,poisonplug,False,True
51,04c5b2382eecf78729e3c7f28d18cb88,deloader,False,False
52,04cb6917c78cbba1824a2bf57a26f019,padcrypt,False,False
53,04d4ca8eabea9f0ce17891bbcce97dab,azorult,True,True
54,04dece2662f648f619d9c0377a7ba7c0,hyperbro,False,False
55,04fb0ccf3ef309b1cd587f609ab0e81e,crackshot,False,False
56,04fd8ba597f7630eac87a0f5d5c4f5e9,systembc,False,False
57,0518ca7a8bd6d93bbafc6022669d5459,powerspritz,False,False
58,051abecc907d95bac508bb5445bd55eb,locky,True,True
59,0530c718660fa2d1b4679570c7d0ae97,zerot,True,True
60,05749f08ebd9762511c6da92481e87d8,avzhan,False,False
61,0580fdef2e7dacbded52ed01dee74800,ursnif,True,True
62,05846839daa851006b119a2b4f9687bf,jimmy,False,True
63,05937e9754992804ed14be1280cca6c4,prometei,True,True
64,05956dd290271a6bc810d17893cee826,kovter,False,False
65,05a00c320754934782ec5dec1d5c0476,wannacry,True,True
66,05c6208f08108266ab20eedd464fb05f,pony,False,True
67,05de2d6c3f9267c3a97b6c6c41f229be,cannon,False,True
68,05dfe8215c1b33f031bb168f8a90d08e,avzhan,False,False
69,062e9cd9cdcabc928fc6186c3921e945,hotcroissant,False,False
70,063d30c3855fa9187c765cfa2140b8c1,psixbot,False,False
71,064058cf092063a5b69ed8fd2a1a04fe,maze,True,True
72,0646f5a3b0e66eb698960baf50a054cf,crat,True,True
73,0664698e08d34417e13ff94114564a51,navrat,False,False
74,0677da0c04a2d64dcc1dcb80045a3d64,bazarbackdoor,True,True
75,06b767c73f35fd2e7770ff91a18bb2ee,atmspitter,False,False
76,06bd89448a10aa5c2f4ca46b4709a879,gazer,False,False
77,06bfed76d6c020e393cd3090f7c2b1fe,athenago,False,False
78,06cdd36673a29822360907f8abec6a59,upaskit,False,False
79,07030263fb2f73fda7c524f1a23671ea,quasar,True,True
80,070e9a317ee53ac3814eb86bc7d5bf49,treasurehunt,False,True
81,07111aff7afc052a81f267ea2e83dcef,bandook,False,True
82,072c692783c67ea56da9de0a53a60d11,seduploader,True,True
83,072fa24def8e77f5c2496992fd359c5b,icedid,True,True
84,073b555c56edc56c220cbbb8cbdc7d1a,icedid,True,True
85,073c4a79ea91e463662fc6bddc1b86e4,tinyloader,False,False
86,074db802aa499ac108216e2c031657d0,kasidet,False,False
87,0753857710dcf96b950e07df9cdf7911,turnedup,True,True
88,075a74ba1d3a5a693ee5e3dd931e1b56,crimson,False,True
89,07633a79d28bb8b4ef8a6283b881be0e,quasar,True,True
90,0775a35e939a14a382b562c95845cb50,pinchduke,False,False
91,07795e978f33b64bd4edf6b612b9492e,gandcrab,True,True
92,078755389b98d17788eb5148e23109a6,seduploader,True,True
93,0796f1c1ea0a142fc1eb7109a44c86cb,bazarbackdoor,True,True
94,07a08cf5211665dfcd090e7bab6c8608,neurevt,False,False
95,07c8a0a792a5447daf08ac32d1e283e8,seduploader,True,True
96,07d1c4952795e804b87c7c9d536dc547,bazarbackdoor,True,True
97,07f2ac3ca63b6eff0761e0184123c492,gandcrab,True,True
98,07f7846bbcda782e5639292ad93907eb,datper,False,True
99,07f81dd3bd6ba8a390aaeccad86d931b,plead,False,False
100,0806c396f83ab2b06b0abac5dabd2cb5,flawedammyy,True,True
101,08278e867322735de9e75f59b539426e,medusalocker,True,True
102,083fd078fecfe156b17a50f73666b43e,discordiaminer,False,True
103,0856655351acffa1ee459eeeaf164756,copperhedge,True,True
104,085b70e88f7de403194c7b6c725ea9ba,atmspitter,False,False
105,08745568fe3bc42564a9fabd2a9d189f,crimson,False,True
106,088df6157c5b059de238e2d793a116eb,quasar,True,True
107,0892d0e0cf63d50a8ea8d55baea4ea33,zerot,True,True
