index,file,family
0,01kcPWA9K2BOxQeS5Rju,Ramnit
1,04EjIdbPV5e1XroFOpiN,Ramnit
2,05EeG39MTRrI6VY21DPd,Ramnit
3,05rJTUWYAKNegBk2wE8X,Ramnit
4,0AnoOZDNbPXIr2MRBSCJ,Ramnit
5,0AwWs42SUQ19mI7eDcTC,Ramnit
6,0cH8YeO15ZywEhPrJvmj,Ramnit
7,0DNVFKwYlcjO7bTfJ5p1,Ramnit
8,0DqUX5rkg3IbMY6BLGCE,Ramnit
9,0eaNKwluUmkYdIvZ923c,Ramnit
10,0fHVZKeTE6iRb1PIQ4au,Ramnit
11,0G4hwobLuAzvl1PWYfmd,Ramnit
12,0gkj92oIleU4SYiCWpaM,Ramnit
13,0H63jydvIahOVqgx5Kfo,Ramnit
14,0Hrfce4X5YGESJPjl9uL,Ramnit
15,0I4ZVvngsAatm8fzD3pk,Ramnit
16,0iBaz3krsQ8HuA7cGDSt,Ramnit
17,0iS3pwlgJco8XORD4TLq,Ramnit
18,0jkmvR43UQ9yKxqXei61,Ramnit
19,0KigmP9TLwJXNGz26tfO,Ramnit
20,0l6fhCty3aSLDOgAjYQi,Ramnit
21,0MOorvEIRmZGhqQdc3TA,Ramnit
22,0NEsQlDGnUMg3Bew7R1A,Ramnit
23,0NyfGXt8nmlK72Q9Irhs,Ramnit
24,0odUVkrjp2B1n8NDS6bR,Ramnit
25,0pTO4SVnWDehgUlYBAvq,Ramnit
26,0qpMX5CZU8mgD2kaRNVv,Ramnit
27,0Rgetc1wAfxlzHTGBOa7,Ramnit
28,0rgudc7PpbexCtBjNqWF,Ramnit
29,0S7z4qxYTHPUDO8fgIyA,Ramnit
30,0SIqXMkDBWKE8s9pQaOv,Ramnit
31,0uNkt6sirCnUWw175pjl,Ramnit
32,0WdoYq78xDkFMcIwRpmJ,Ramnit
33,0X6U3SfcmbuZNodnH9qL,Ramnit
34,0yBQ5dAc2gN4qx9YWuiS,Ramnit
35,0YRDpBU67WrqEugkXlnd,Ramnit
36,0ZHV6acpJ9KkAWPjEI71,Ramnit
37,0ZiQmgtxzHe9v5O8Lf2k,Ramnit
38,0ZTEyLXaWReMK3rYVCjv,Ramnit
39,12TEseaJ4jnbyORqKxhf,Ramnit
40,15loeAHtkJa8BuFi6Zry,Ramnit
41,175ZU8ClOsnifz03ybcX,Ramnit
42,19zYbuW3XONcEedv7xUl,Ramnit
43,1aAwe4J9VHrsq8uEoZhf,Ramnit
44,1AXVt0D9mSU26fL4iFGc,Ramnit
45,1ckp5Ye83yzjIilWQCfm,Ramnit
46,1Cub9LvOgMWkQqs3R2ef,Ramnit
47,1CWtrEfORZDj7psmnToA,Ramnit
48,1d485UYC6qhXKrAcDJPZ,Ramnit
49,1DNWriJEg56S03yvjTBu,Ramnit
50,1E93CpP60RHFNiT5Qfvn,Ramnit
51,1eJx34l8pcAFvMuOwrjB,Ramnit
52,1GQ4lzmoS3P96jkAKsRn,Ramnit
53,1gQDa4l9cNBbkO7n5IY0,Ramnit
54,1h0FDrPmV7gfCzs9Id43,Ramnit
55,1her6tuVWjBkqZPUf8KR,Ramnit
